id,X_cor,Y_cor,Elevation,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
0,1264782.198,777855.4077,1028.0, , ,1, , , , , , , , , , , 
1,1304395.795,693984.2813,1236.0, , ,1, , , , , , , , , , , 
2,1306269.801,697484.8982,1167.0, , ,1, , , , , , , , , , , 
3,1292108.285,743683.887,1069.0, , ,1, , , , , , , , , , , 
4,1287472.268,742410.4129,1067.0, , ,1, , , , , , , , , , , 
5,1295169.801,729814.0758,1124.0, , ,1, , , , , , , , , , , 
6,1294249.051,730776.7212,1135.0, , ,1, , , , , , , , , , , 
7,1301861.167,724114.4008,1074.0, , ,1, , , , , , , , , , , 
8,1291172.465,721359.4344,1087.0, , ,1, , , , , , , , , , , 
9,1304814.282,687754.1521,1311.0, , ,1,1, , , , , , , , , , 
10,1304563.216,687076.7994,1349.0, , ,1,1, , , , , , , , , , 
11,1279714.792,779999.267,927.0, , , ,1, , , , , , , , , , 
12,1277475.428,757567.7133,1071.0, , ,1,1, , , , , , , , , , 
13,1283593.095,760545.6189,1074.0, , ,1,1, , , , , , , , , , 
14,1244697.247,780141.6287,959.0, , , , ,1, , , , , , , , , 
15,1295869.891,741496.8479,1078.0, , , , ,1, , , , , , , , , 
16,1217506.388,780662.1606,1249.0, , , , ,1, , , , , , , , , 
17,1293358.479,666171.5396,1246.0, , , , ,1, , , , , , , , , 
18,1237667.041,730758.3237,1230.0, , , , ,1, , , , , , , , , 
19,1322338.267,696172.9316,789.0, , , , ,1, , , , , , , , , 
20,1280531.846,750602.2016,1093.0, , ,1,1,1, , , , , , , , , 
21,1328210.536,700466.9095,974.0, , , ,1, ,1, , , , , , , , 
22,1259118.368,720435.7944,848.0, , , ,1, ,1, , , , , , , , 
23,1325999.792,748373.9026,935.0, , , , ,1,1, , , , , , , , 
24,1301914.492,707643.251,1092.0, , , , , ,1, , , , , , , , 
25,1302283.231,710167.2395,1076.0, , , , , ,1, , , , , , , , 
26,1330146.461,693200.0079,1076.0, , ,1,1,1,1, , , , , , , , 
27,1196458.664,789075.8449,1088.0, , , , , ,1, , , , , , , , 
28,1275086.315,714772.7943,1202.0, , , , ,1,1, , , , , , , , 
29,1328551.222,695147.4515,1104.0, , ,1,1,1,1, , , , , , , , 
30,1180306.526,793981.445,930.0, , , , , ,1, , , , , , , , 
31,1319541.048,710402.147,1063.0, , , , , ,1, , , , , , , , 
32,1314221.773,744360.3375,1068.0, , ,1,1,1, , , , , , , , , 
33,1272840.611,732669.9781,1527.0, , ,1,1, , ,1, , , , , , , 
34,1336779.633,637185.4019,1045.0, , , , , , ,1, , , , , , , 
35,1246222.182,785150.0095,929.0, , , , , , ,1, , , , , , , 
36,1326822.045,697003.9333,996.0, , ,1,1,1, ,1, , , , , , , 
37,1229338.289,802904.684,1089.0, , , , , , ,1, , , , , , , 
38,1157607.863,791948.0894,887.0, , , , , , ,1, , , , , , , 
39,1217529.819,777021.7879,1173.0, , , , , , ,1, , , , , , , 
40,1223389.65,769890.7117,1149.0, , , , , , ,1, , , , , , , 
41,1227144.664,755144.5002,1026.0, , , , , , ,1, , , , , , , 
42,1229740.394,758161.4355,963.0, , , , , , ,1, , , , , , , 
43,1271140.488,755848.6974,1029.0, ,1, ,1, , ,1, , , , , , , 
44,1301239.587,770764.2281,883.0, ,1, ,1,1, ,1, , , , , , , 
45,1271231.696,685095.0517,1192.0, , , , , ,1,1, , , , , , , 
46,1297306.878,651588.0534,1410.0, , , , , , ,1, , , , , , , 
47,1323555.664,718511.158,1092.0, , , , , ,1,1, , , , , , , 
48,1325086.156,680998.678,1061.0, , , , , , , ,1, , , , , , 
49,1310797.302,719921.6421,1111.0, , , , , , , ,1, , , , , , 
50,1127709.704,781778.1147,1109.0, , , , , , , ,1, , , , , , 
51,1164098.591,782156.9579,826.0, , , , , , ,1,1, , , , , , 
52,1315227.888,705050.5949,1068.0, ,1, ,1, , ,1,1, , , , , , 
53,1315214.223,705815.3254,1067.0, ,1, ,1, , ,1,1, , , , , , 
54,1326799.408,680873.1238,1234.0, , , , , , , ,1, , , , , , 
55,1269542.143,663945.7567,1540.0, , , , , , , ,1, , , , , , 
